Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201201BS70275,525760,179700,-0.189498,51.502199,1,2,1,1,01/06/2012,6,02:00,12,E09000020,3,315,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01002889,2012
201201BS70276,526430,179470,-0.179933,51.499983,1,3,2,1,07/06/2012,5,14:00,12,E09000020,5,0,Dual carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01004688,2012
201201BS70278,524550,181370,-0.206333,51.517475,1,2,1,1,29/05/2012,3,14:30,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002831,2012
201201BS70279,526190,177330,-0.184153,51.480804,1,3,2,1,30/05/2012,4,21:15,12,E09000020,3,308,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002843,2012
201201BS70281,524950,179250,-0.201322,51.498334,1,3,2,1,07/06/2012,5,18:50,12,E09000020,3,315,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002864,2012
201201BS70283,527850,177740,-0.160112,51.484116,1,3,2,1,30/05/2012,4,09:03,12,E09000020,3,3212,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01002900,2012
201201BS70284,524780,180250,-0.203416,51.507359,1,3,1,1,22/05/2012,3,15:50,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002828,2012
201201BS70285,524760,180280,-0.203693,51.507633,1,3,1,1,01/06/2012,6,20:22,12,E09000020,3,402,Dual carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002828,2012
201201BS70286,526280,177790,-0.182693,51.484918,1,3,2,1,23/05/2012,4,15:00,12,E09000020,3,308,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002912,2012
201201BS70287,527900,177760,-0.159385,51.484284,1,3,2,1,28/05/2012,2,07:25,12,E09000020,3,3212,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002900,2012
201201BS70288,528010,178600,-0.157498,51.491809,1,3,1,1,25/05/2012,6,09:10,12,E09000020,3,3216,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002902,2012
201201BS70289,523890,182370,-0.215489,51.526608,1,2,2,1,31/05/2012,5,09:48,12,E09000020,4,450,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002852,2012
201201BS70290,525950,177770,-0.187451,51.484812,1,3,2,1,17/05/2012,5,07:13,12,E09000020,3,3220,One way street,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Other,Dry,None,None,1,Yes,E01002893,2012
201201BS70291,527890,179750,-0.158809,51.502171,1,3,2,1,06/06/2012,4,06:45,1,E09000033,3,4,Single carriageway,30,,Automatic traffic signal,3,4,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01004689,2012
201201BS70292,523900,182330,-0.215359,51.526246,1,2,2,1,30/05/2012,4,15:30,12,E09000020,4,450,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002852,2012
201201BS70293,525760,178290,-0.190001,51.489527,1,3,2,1,09/06/2012,7,10:10,12,E09000020,3,3220,Single carriageway,30,,Automatic traffic signal,3,3218,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002894,2012
201201BS70294,524410,181100,-0.208445,51.51508,1,3,2,1,23/05/2012,4,12:50,12,E09000020,4,450,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002874,2012
201201BS70295,524890,180740,-0.201658,51.511739,1,3,2,1,07/06/2012,5,18:40,12,E09000020,4,415,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002882,2012
201201BS70296,527440,178230,-0.165837,51.488612,1,3,2,1,06/06/2012,4,09:21,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002903,2012
201201BS70297,526830,179270,-0.174245,51.498096,1,3,2,1,08/06/2012,6,18:40,1,E09000033,5,0,Single carriageway,30,,Giveway or uncontrolled,5,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002820,2012
201201BS70298,526820,178890,-0.174525,51.494683,1,3,2,1,30/04/2012,2,18:30,12,E09000020,3,3218,Single carriageway,30,,Giveway or uncontrolled,3,3218,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002821,2012
201201BS70299,524180,181650,-0.211564,51.520073,1,3,1,1,15/06/2012,6,12:57,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,4,450,None within 50 metres,Zebra crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002856,2012
201201BS70300,527570,179470,-0.163518,51.499727,1,3,2,1,16/06/2012,7,20:31,12,E09000020,3,4,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Dry,None,None,1,Yes,E01004689,2012
201201BS70301,527390,178190,-0.166571,51.488264,1,3,1,1,25/04/2012,4,15:49,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002899,2012
201201BS70302,527130,178020,-0.170375,51.486795,1,3,2,1,21/05/2012,2,07:30,12,E09000020,3,3217,Single carriageway,30,,Automatic traffic signal,4,304,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002844,2012
201201BS70303,526060,177580,-0.185935,51.48308,1,3,2,1,03/06/2012,1,10:50,12,E09000020,3,304,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002897,2012
